id,rate,value
1,USD,1
2,AED,3.6725
3,AFN,86.7712
4,ALL,111.1579
5,AMD,466.6278
6,ANG,1.79
7,AOA,408.9422
8,ARS,114.1234
9,AUD,1.393
10,AWG,1.79
11,AZN,1.6977
12,BAM,1.824
13,BBD,2
14,BDT,85.4932
15,BGN,1.8238
16,BHD,0.376
17,BIF,2009.5725
18,BMD,1
19,BND,1.3743
20,BOB,6.8671
21,BRL,4.8383
22,BSD,1
23,BTN,76.5577
24,BWP,11.9931
25,BYN,2.8937
26,BZD,2
27,CAD,1.2738
28,CDF,1999.669
29,CHF,0.9583
30,CLP,836.4555
31,CNY,6.5539
32,COP,3815.1925
33,CRC,657.2406
34,CUP,24
35,CVE,102.8309
36,CZK,22.7783
37,DJF,177.721
38,DKK,6.9574
39,DOP,54.9525
40,DZD,144.4169
41,EGP,18.5846
42,ERN,15
43,ETB,51.7313
44,EUR,0.9326
45,FJD,2.1355
46,FKP,0.7849
47,FOK,6.9574
48,GBP,0.7849
49,GEL,3.0377
50,GGP,0.7849
51,GHS,7.809
52,GIP,0.7849
53,GMD,54.0333
54,GNF,8896.9671
55,GTQ,7.6404
56,GYD,209.0387
57,HKD,7.8501
58,HNL,24.5276
59,HRK,7.0265
60,HTG,108.0252
61,HUF,347.6159
62,IDR,14400.0535
63,ILS,3.2923
64,IMP,0.7849
65,INR,76.5592
66,IQD,1458.072
67,IRR,42025.6975
68,ISK,129.4004
69,JEP,0.7849
70,JMD,154.7082
71,JOD,0.709
72,JPY,127.9874
73,KES,116.0201
74,KGS,82.5276
75,KHR,4041.021
76,KID,1.3932
77,KMF,458.7992
78,KRW,1248.7654
79,KWD,0.2996
80,KYD,0.8333
81,KZT,447.6622
82,LAK,13217.1538
83,LBP,1507.5
84,LKR,329.6446
85,LRD,151.6384
86,LSL,15.6807
87,LYD,4.712
88,MAD,9.6785
89,MDL,18.4715
90,MGA,3991.8823
91,MKD,56.7086
92,MMK,1835.4832
93,MNT,3052.3832
94,MOP,8.0856
95,MRU,36.4208
96,MUR,42.4938
97,MVR,15.4255
98,MWK,820.2823
99,MXN,20.268
100,MYR,4.3339
101,MZN,63.9595
102,NAD,15.6807
103,NGN,415.1656
104,NIO,35.8381
105,NOK,9.0958
106,NPR,122.4923
107,NZD,1.5121
108,OMR,0.3845
109,PAB,1
110,PEN,3.7826
111,PGK,3.5188
112,PHP,52.3648
113,PKR,185.8765
114,PLN,4.3251
115,PYG,6899.3059
116,QAR,3.64
117,RON,4.6083
118,RSD,109.827
119,RUB,74.6363
120,RWF,1058.6783
121,SAR,3.75
122,SBD,7.8917
123,SCR,13.7291
124,SDG,445.172
125,SEK,9.6881
126,SGD,1.3743
127,SHP,0.7849
128,SLL,12368.3272
129,SOS,577.9904
130,SRD,20.7337
131,SSP,425.2532
132,STN,22.8482
133,SYP,2511.1221
134,SZL,15.6807
135,THB,34.0907
136,TJS,12.4834
137,TMT,3.4994
138,TND,2.8382
139,TOP,2.2301
140,TRY,14.7717
141,TTD,6.7719
142,TVD,1.3932
143,TWD,29.2119
144,TZS,2324.9252
145,UAH,29.6784
146,UGX,3534.9072
147,UYU,40.3656
148,UZS,11371.8812
149,VES,4.4337
150,VND,22946.3982
151,VUV,113.5536
152,WST,2.5647
153,XAF,611.7322
154,XCD,2.7
155,XDR,0.7381
156,XOF,611.7322
157,XPF,111.2866
158,YER,249.9998
159,ZAR,15.6827
160,ZMW,17.0812
161,ZWL,154.8111
